Date,Year,Quarter,Month,MonthName,DayOfWeek,IsWeekend,Shift,ShiftStart,ShiftEnd,SeasonalIndex
2024-01-01,2024,Q1,1,January,Monday,No,Morning,06:00,14:00,0.85
2024-01-01,2024,Q1,1,January,Monday,No,Afternoon,14:00,22:00,0.85
2024-01-01,2024,Q1,1,January,Monday,No,Night,22:00,06:00,0.85
2024-01-02,2024,Q1,1,January,Tuesday,No,Morning,06:00,14:00,0.85
2024-01-02,2024,Q1,1,January,Tuesday,No,Afternoon,14:00,22:00,0.85
2024-01-02,2024,Q1,1,January,Tuesday,No,Night,22:00,06:00,0.85
2024-01-03,2024,Q1,1,January,Wednesday,No,Morning,06:00,14:00,0.85
2024-01-03,2024,Q1,1,January,Wednesday,No,Afternoon,14:00,22:00,0.85
2024-01-03,2024,Q1,1,January,Wednesday,No,Night,22:00,06:00,0.85
2024-01-04,2024,Q1,1,January,Thursday,No,Morning,06:00,14:00,0.85
2024-01-04,2024,Q1,1,January,Thursday,No,Afternoon,14:00,22:00,0.85
2024-01-04,2024,Q1,1,January,Thursday,No,Night,22:00,06:00,0.85
2024-01-05,2024,Q1,1,January,Friday,No,Morning,06:00,14:00,0.851
2024-01-05,2024,Q1,1,January,Friday,No,Afternoon,14:00,22:00,0.851
2024-01-05,2024,Q1,1,January,Friday,No,Night,22:00,06:00,0.851
2024-01-06,2024,Q1,1,January,Saturday,Yes,Morning,06:00,14:00,0.851
2024-01-06,2024,Q1,1,January,Saturday,Yes,Afternoon,14:00,22:00,0.851
2024-01-06,2024,Q1,1,January,Saturday,Yes,Night,22:00,06:00,0.851
2024-01-07,2024,Q1,1,January,Sunday,Yes,Morning,06:00,14:00,0.383
2024-01-07,2024,Q1,1,January,Sunday,Yes,Afternoon,14:00,22:00,0.383
2024-01-07,2024,Q1,1,January,Sunday,Yes,Night,22:00,06:00,0.383
2024-01-08,2024,Q1,1,January,Monday,No,Morning,06:00,14:00,0.851
2024-01-08,2024,Q1,1,January,Monday,No,Afternoon,14:00,22:00,0.851
2024-01-08,2024,Q1,1,January,Monday,No,Night,22:00,06:00,0.851
2024-01-09,2024,Q1,1,January,Tuesday,No,Morning,06:00,14:00,0.851
2024-01-09,2024,Q1,1,January,Tuesday,No,Afternoon,14:00,22:00,0.851
2024-01-09,2024,Q1,1,January,Tuesday,No,Night,22:00,06:00,0.851
2024-01-10,2024,Q1,1,January,Wednesday,No,Morning,06:00,14:00,0.851
2024-01-10,2024,Q1,1,January,Wednesday,No,Afternoon,14:00,22:00,0.851
2024-01-10,2024,Q1,1,January,Wednesday,No,Night,22:00,06:00,0.851
2024-01-11,2024,Q1,1,January,Thursday,No,Morning,06:00,14:00,0.851
2024-01-11,2024,Q1,1,January,Thursday,No,Afternoon,14:00,22:00,0.851
2024-01-11,2024,Q1,1,January,Thursday,No,Night,22:00,06:00,0.851
2024-01-12,2024,Q1,1,January,Friday,No,Morning,06:00,14:00,0.851
2024-01-12,2024,Q1,1,January,Friday,No,Afternoon,14:00,22:00,0.851
2024-01-12,2024,Q1,1,January,Friday,No,Night,22:00,06:00,0.851
2024-01-13,2024,Q1,1,January,Saturday,Yes,Morning,06:00,14:00,0.468
2024-01-13,2024,Q1,1,January,Saturday,Yes,Afternoon,14:00,22:00,0.468
2024-01-13,2024,Q1,1,January,Saturday,Yes,Night,22:00,06:00,0.468
2024-01-14,2024,Q1,1,January,Sunday,Yes,Morning,06:00,14:00,0.211
2024-01-14,2024,Q1,1,January,Sunday,Yes,Afternoon,14:00,22:00,0.211
2024-01-14,2024,Q1,1,January,Sunday,Yes,Night,22:00,06:00,0.211
2024-01-15,2024,Q1,1,January,Monday,No,Morning,06:00,14:00,0.468
2024-01-15,2024,Q1,1,January,Monday,No,Afternoon,14:00,22:00,0.468
2024-01-15,2024,Q1,1,January,Monday,No,Night,22:00,06:00,0.468
2024-01-16,2024,Q1,1,January,Tuesday,No,Morning,06:00,14:00,0.468
2024-01-16,2024,Q1,1,January,Tuesday,No,Afternoon,14:00,22:00,0.468
2024-01-16,2024,Q1,1,January,Tuesday,No,Night,22:00,06:00,0.468
2024-01-17,2024,Q1,1,January,Wednesday,No,Morning,06:00,14:00,0.468
2024-01-17,2024,Q1,1,January,Wednesday,No,Afternoon,14:00,22:00,0.468
2024-01-17,2024,Q1,1,January,Wednesday,No,Night,22:00,06:00,0.468
2024-01-18,2024,Q1,1,January,Thursday,No,Morning,06:00,14:00,0.469
2024-01-18,2024,Q1,1,January,Thursday,No,Afternoon,14:00,22:00,0.469
2024-01-18,2024,Q1,1,January,Thursday,No,Night,22:00,06:00,0.469
2024-01-19,2024,Q1,1,January,Friday,No,Morning,06:00,14:00,0.852
2024-01-19,2024,Q1,1,January,Friday,No,Afternoon,14:00,22:00,0.852
2024-01-19,2024,Q1,1,January,Friday,No,Night,22:00,06:00,0.852
2024-01-20,2024,Q1,1,January,Saturday,Yes,Morning,06:00,14:00,0.852
2024-01-20,2024,Q1,1,January,Saturday,Yes,Afternoon,14:00,22:00,0.852
2024-01-20,2024,Q1,1,January,Saturday,Yes,Night,22:00,06:00,0.852
2024-01-21,2024,Q1,1,January,Sunday,Yes,Morning,06:00,14:00,0.383
2024-01-21,2024,Q1,1,January,Sunday,Yes,Afternoon,14:00,22:00,0.383
2024-01-21,2024,Q1,1,January,Sunday,Yes,Night,22:00,06:00,0.383
2024-01-22,2024,Q1,1,January,Monday,No,Morning,06:00,14:00,0.852
2024-01-22,2024,Q1,1,January,Monday,No,Afternoon,14:00,22:00,0.852
2024-01-22,2024,Q1,1,January,Monday,No,Night,22:00,06:00,0.852
2024-01-23,2024,Q1,1,January,Tuesday,No,Morning,06:00,14:00,0.852
2024-01-23,2024,Q1,1,January,Tuesday,No,Afternoon,14:00,22:00,0.852
2024-01-23,2024,Q1,1,January,Tuesday,No,Night,22:00,06:00,0.852
2024-01-24,2024,Q1,1,January,Wednesday,No,Morning,06:00,14:00,0.853
2024-01-24,2024,Q1,1,January,Wednesday,No,Afternoon,14:00,22:00,0.853
2024-01-24,2024,Q1,1,January,Wednesday,No,Night,22:00,06:00,0.853
2024-01-25,2024,Q1,1,January,Thursday,No,Morning,06:00,14:00,0.853
2024-01-25,2024,Q1,1,January,Thursday,No,Afternoon,14:00,22:00,0.853
2024-01-25,2024,Q1,1,January,Thursday,No,Night,22:00,06:00,0.853
2024-01-26,2024,Q1,1,January,Friday,No,Morning,06:00,14:00,0.853
2024-01-26,2024,Q1,1,January,Friday,No,Afternoon,14:00,22:00,0.853
2024-01-26,2024,Q1,1,January,Friday,No,Night,22:00,06:00,0.853
2024-01-27,2024,Q1,1,January,Saturday,Yes,Morning,06:00,14:00,0.853
2024-01-27,2024,Q1,1,January,Saturday,Yes,Afternoon,14:00,22:00,0.853
2024-01-27,2024,Q1,1,January,Saturday,Yes,Night,22:00,06:00,0.853
2024-01-28,2024,Q1,1,January,Sunday,Yes,Morning,06:00,14:00,0.384
2024-01-28,2024,Q1,1,January,Sunday,Yes,Afternoon,14:00,22:00,0.384
2024-01-28,2024,Q1,1,January,Sunday,Yes,Night,22:00,06:00,0.384
2024-01-29,2024,Q1,1,January,Monday,No,Morning,06:00,14:00,0.853
2024-01-29,2024,Q1,1,January,Monday,No,Afternoon,14:00,22:00,0.853
2024-01-29,2024,Q1,1,January,Monday,No,Night,22:00,06:00,0.853
2024-01-30,2024,Q1,1,January,Tuesday,No,Morning,06:00,14:00,0.853
2024-01-30,2024,Q1,1,January,Tuesday,No,Afternoon,14:00,22:00,0.853
